평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2021,LIBTYPE000003,211009,고려대학교 도서관,서울,성북구,3182467,25,14510,280083,7335666765 
2021,LIBTYPE000003,244002,고려대학교(세종) 세종캠퍼스 학술정보원,세종,조치원읍,554029,2,4531,26133,638026284 
2021,LIBTYPE000003,211103,고려사이버대학교 도서관,서울,종로구,50734,0,2073,11225,28670000 
2021,LIBTYPE000003,221003,고신대학교 도서관,부산,영도구,475329,3,1243,22941,693699244 
2021,LIBTYPE000003,243002,공군사관학교 학술정보원,충북,청주시,246828,7,1270,139966,175744360 
2021,LIBTYPE000003,244003,공주교육대학교 도서관,충남,공주시,331406,4,1403,7305,155213790 
2021,LIBTYPE000003,244004,공주대학교 도서관,충남,공주시,1291822,15,3877,51683,1023234070 
2021,LIBTYPE000003,230003,과학기술연합대학원대학교 도서관,대전,유성구,79162,0,404,2843,298000000 
2021,LIBTYPE000003,224016,광신대학교 도서관,광주,북구,148909,2,107,1156,32970353 
2021,LIBTYPE000003,246012,광양보건대학교 도서관,전남,광양시,40429,1,11,15,3204468 
2021,LIBTYPE000003,211012,광운대학교 도서관,서울,노원구,767128,4,4284,55651,1406923051 
2021,LIBTYPE000003,224001,광주가톨릭대학교 도서관,전남,나주시,206855,2,189,10785,68650672 
2021,LIBTYPE000003,L10007,광주과학기술원 도서관,광주,북구,186999,2,1742,35215,2096048000 
2021,LIBTYPE000003,224002,광주교육대학교 도서관,광주,북구,317947,2,858,7101,129082130 
2021,LIBTYPE000003,224003,광주대학교 호심기념도서관,광주,남구,611237,6,1411,42111,566141450 
2021,LIBTYPE000003,224004,광주보건대학교 학술정보원,광주,광산구,211295,2,410,1858,80793130 
2021,LIBTYPE000003,224005,광주여자대학교 도서관,광주,광산구,328565,2,648,22075,213359725 
2021,LIBTYPE000003,247033,구미대학교 도서관,경북,구미시,204373,1,122,1936,81737529 
2021,LIBTYPE000003,241009,구세군사관대학원대학교 도서관,경기,과천시,26387,0,45,719,6433300 
2021,LIBTYPE000003,225017,국군간호사관학교 도서관,대전,유성구,65552,1,335,5067,108725220 
2021,LIBTYPE000003,241098,국립암센터국제암대학원대학교 도서관,경기,고양시,1986,1,173,1277,11033500 
2021,LIBTYPE000003,211114,국민대학교 성곡도서관,서울,성북구,1453566,11,5499,124522,1441547000 
2021,LIBTYPE000003,211070,국방대학교 도서관,충남,논산시,392988,9,1325,31898,584602540 
2021,LIBTYPE000003,L0006,국제뇌교육종합대학원대학교 성재관,충남,천안시,5680,1,38,198,13237210 
2021,LIBTYPE000003,241064,국제대학교 학술정보원,경기,평택시,146702,1,864,3209,75128837 
2021,LIBTYPE000003,241075,국제법률경영대학원대학교 도서관,경기,고양시,6713,0,0,0,0 
2021,LIBTYPE000003,241080,국제사이버대학교 도서관,경기,수원시,9798,0,59,249,0 
